indicator_full_name,indicator,year,geo,numerator,denom,value,blue_bar_label,diff_bar_label,grey_bar_label,summary_sentence,reverse_gap_sentence
People above poverty,People above poverty,2013–17,DC,527337,638362,0.8260783067,above poverty,more,people,more people in DC would be above the poverty threshold.,A higher share of people are above the poverty threshold in DC than in
Children above poverty,Children above poverty,2013-17,DC,86535,116145,0.7450600542,above poverty,more,children,more children in DC would be above the poverty threshold.,A higher share of children are above the poverty threshold in DC than in
"Family income over $75,000 per year",Family income,2013-17,DC,70292,121411,0.5789590729,over $75K,more,families,"more families in DC would have incomes over $75,000.","A higher share of families have incomes over $75,000 in DC than in"
Unemployment rate,Unemployment,2013-17,DC,31279,388980,0.0804128747,unemployed,fewer,adults,more adults in DC would be employed.,A higher share of people are employed in DC than in
Full-time workers earning a living wage,Living wage,2013-17,DC,225961,273999,0.8246781923,over $35K,more,full-time workers,"more full-time workers in DC would earn over $35,000 a year.","A higher share of full-time workers earn over $35,000 a year in DC than in"
Homeownership rate,Homeownership,2013-17,DC,115795,277985,0.4165512528,homeowners,more,households,more households in DC would own their own homes.,A higher share of households own their own homes in DC than in
Workers with less than a 45-minute commute to work,Commute time,2013-17,DC,252792,354658,0.712776816,commute under 45 minutes,more,workers,more workers in DC would have less than a 45-minute commute to work.,A higher share of workers have shorter commutes in DC than in
Households with a housing cost burden,Housing cost burden,2013-17,DC,100492,267186,0.3761125209,with cost burden,fewer,households,fewer households in DC would be housing-cost burdened.,A lower share of households are housing-cost burdened in DC than in
"Violent crimes per 1,000 population",Violent crime,2017,DC,4169,601723,6.9284371713,"crimes per 1,000 people",fewer crimes,n/a,NA,The violent crime rate is lower in DC than in
Births to mothers who received adequate prenatal care,Prenatal care,2016,DC,5529,9338,0.5920968087,received adequate prenatal care,more,births,more mothers in DC would receive adequate prenatal care each year.,A higher share of mothers receive adequate prenatal care each year in DC than in
Home sales affordable to the average household of color,Home sales affordable to the average household of color,2017,DC,680,7073,0.0961402517,affordable homes sold,more,homes sold,more homes sold in DC would be affordable to the average household of color in DC each year.,A larger share of affordable homes are sold in DC than in
Adults with a postsecondary degree,Postsecondary education,2013-17,DC,285024,477843,0.596480434,with degree,more,adults,more adults in DC would have postsecondary degrees.,A higher share of people have postsecondary degrees in DC than in
Small-business lending per employee,Small-business lending,2014–16,DC,510172665.13,104437,4884.9800849,per employee,more in loans,n/a,more would be lent to small businesses annually in DC .,More money is lent to small businesses per employee in DC than in
People who live within one mile of a major grocery store,Grocery stores,2017,DC,591012.02896,659009,0.896819359,near a grocery store,more,people,more people in DC would have a grocery store nearby.,A higher share of people have a grocery store nearby in DC than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,DC,630721,659009,0.9570749413,near a branch,more,people,more people in DC would have access to a retail bank location.,A higher share of people have access to a retail bank location in DC than in
"Premature deaths per 1,000 population",Premature mortality,2014–16,DC,2680.3333226,569883,4.7033045776,"deaths per 1,000 people",fewer deaths,n/a,fewer people in DC would die before age 75 each year.,The premature mortality rate is lower in DC than in
Households with broadband internet subscription,Households with broadband internet subscription,2013-17,DC,195033,277985,0.7015954098,xxx,xxx,xxx,xxxx xxx xxxx DC xxx xxx xxxxx.,Xxxxxxx DC than in
People above poverty,People above poverty,2013–17,Ward 1,68942.195366,79135.869518,0.8711876901,above poverty,more,people,more people in Ward 1 would be above the poverty threshold.,A higher share of people are above the poverty threshold in Ward 1 than in
People above poverty,People above poverty,2013–17,Ward 2,56105.34959,64984.58129,0.8633640238,above poverty,more,people,more people in Ward 2 would be above the poverty threshold.,A higher share of people are above the poverty threshold in Ward 2 than in
People above poverty,People above poverty,2013–17,Ward 3,72953.167462,79920.560249,0.9128210217,above poverty,more,people,more people in Ward 3 would be above the poverty threshold.,A higher share of people are above the poverty threshold in Ward 3 than in
People above poverty,People above poverty,2013–17,Ward 4,74271.826602,83763.88063,0.8866808228,above poverty,more,people,more people in Ward 4 would be above the poverty threshold.,A higher share of people are above the poverty threshold in Ward 4 than in
People above poverty,People above poverty,2013–17,Ward 5,67575.774812,81657.285476,0.8275535296,above poverty,more,people,more people in Ward 5 would be above the poverty threshold.,A higher share of people are above the poverty threshold in Ward 5 than in
People above poverty,People above poverty,2013–17,Ward 6,77905.11396,89490.514935,0.8705404591,above poverty,more,people,more people in Ward 6 would be above the poverty threshold.,A higher share of people are above the poverty threshold in Ward 6 than in
People above poverty,People above poverty,2013–17,Ward 7,56271.346949,76599.937982,0.7346134792,above poverty,more,people,more people in Ward 7 would be above the poverty threshold.,A higher share of people are above the poverty threshold in Ward 7 than in
People above poverty,People above poverty,2013–17,Ward 8,53312.225258,82809.36992,0.6437946009,above poverty,more,people,more people in Ward 8 would be above the poverty threshold.,A higher share of people are above the poverty threshold in Ward 8 than in
Children above poverty,Children above poverty,2013-17,Ward 1,7698.4013439,10346.518809,0.7440571545,above poverty,more,children,more children in Ward 1 would be above the poverty threshold.,A higher share of children are above the poverty threshold in Ward 1 than in
Children above poverty,Children above poverty,2013-17,Ward 2,4311.1458588,4592.3172602,0.9387735242,above poverty,more,children,more children in Ward 2 would be above the poverty threshold.,A higher share of children are above the poverty threshold in Ward 2 than in
Children above poverty,Children above poverty,2013-17,Ward 3,12998.085645,13367.28865,0.9723801128,above poverty,more,children,more children in Ward 3 would be above the poverty threshold.,A higher share of children are above the poverty threshold in Ward 3 than in
Children above poverty,Children above poverty,2013-17,Ward 4,14760.599739,16859.998049,0.8754805128,above poverty,more,children,more children in Ward 4 would be above the poverty threshold.,A higher share of children are above the poverty threshold in Ward 4 than in
Children above poverty,Children above poverty,2013-17,Ward 5,11730.11719,14425.882296,0.8131299667,above poverty,more,children,more children in Ward 5 would be above the poverty threshold.,A higher share of children are above the poverty threshold in Ward 5 than in
Children above poverty,Children above poverty,2013-17,Ward 6,10353.238779,12486.583491,0.8291490451,above poverty,more,children,more children in Ward 6 would be above the poverty threshold.,A higher share of children are above the poverty threshold in Ward 6 than in
Children above poverty,Children above poverty,2013-17,Ward 7,11095.802948,18399.099389,0.6030622866,above poverty,more,children,more children in Ward 7 would be above the poverty threshold.,A higher share of children are above the poverty threshold in Ward 7 than in
Children above poverty,Children above poverty,2013-17,Ward 8,13587.608496,25667.312055,0.5293740329,above poverty,more,children,more children in Ward 8 would be above the poverty threshold.,A higher share of children are above the poverty threshold in Ward 8 than in
"Family income over $75,000 per year",Family income,2013-17,Ward 1,7682.6008388,12519.518024,0.6136498884,over $75K,more,families,"more families in Ward 1 would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Ward 1 than in"
"Family income over $75,000 per year",Family income,2013-17,Ward 2,7763.8522504,9393.3682144,0.82652484959999994,over $75K,more,families,"more families in Ward 2 would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Ward 2 than in"
"Family income over $75,000 per year",Family income,2013-17,Ward 3,14828.852439,16550.707135,0.8959648864,over $75K,more,families,"more families in Ward 3 would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Ward 3 than in"
"Family income over $75,000 per year",Family income,2013-17,Ward 4,11025.692564,17546.399074,0.6283735208,over $75K,more,families,"more families in Ward 4 would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Ward 4 than in"
"Family income over $75,000 per year",Family income,2013-17,Ward 5,8227.272271,15204.432809,0.5411101075,over $75K,more,families,"more families in Ward 5 would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Ward 5 than in"
"Family income over $75,000 per year",Family income,2013-17,Ward 6,11490.980319,15854.825425,0.7247623364,over $75K,more,families,"more families in Ward 6 would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Ward 6 than in"
"Family income over $75,000 per year",Family income,2013-17,Ward 7,5006.4264715,16306.464589,0.3070209636,over $75K,more,families,"more families in Ward 7 would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Ward 7 than in"
"Family income over $75,000 per year",Family income,2013-17,Ward 8,4266.3228473,18035.28473,0.2365542275,over $75K,more,families,"more families in Ward 8 would have incomes over $75,000.","A higher share of families have incomes over $75,000 in Ward 8 than in"
Unemployment rate,Unemployment,2013-17,Ward 1,2907.4610588,58240.108147,0.0499219722,unemployed,fewer,adults,more adults in Ward 1 would be employed.,A higher share of people are employed in Ward 1 than in
Unemployment rate,Unemployment,2013-17,Ward 2,2171.501574,53151.47489,0.0408549636,unemployed,fewer,adults,more adults in Ward 2 would be employed.,A higher share of people are employed in Ward 2 than in
Unemployment rate,Unemployment,2013-17,Ward 3,2021.4711588,51490.251812,0.0392592984,unemployed,fewer,adults,more adults in Ward 3 would be employed.,A higher share of people are employed in Ward 3 than in
Unemployment rate,Unemployment,2013-17,Ward 4,3432.6311997,47413.07243,0.072398413,unemployed,fewer,adults,more adults in Ward 4 would be employed.,A higher share of people are employed in Ward 4 than in
Unemployment rate,Unemployment,2013-17,Ward 5,4554.6584499,47049.514084,0.0968056427,unemployed,fewer,adults,more adults in Ward 5 would be employed.,A higher share of people are employed in Ward 5 than in
Unemployment rate,Unemployment,2013-17,Ward 6,2886.9196106,60207.962833,0.0479491329,unemployed,fewer,adults,more adults in Ward 6 would be employed.,A higher share of people are employed in Ward 6 than in
Unemployment rate,Unemployment,2013-17,Ward 7,6215.7408748,36429.457595,0.1706240303,unemployed,fewer,adults,more adults in Ward 7 would be employed.,A higher share of people are employed in Ward 7 than in
Unemployment rate,Unemployment,2013-17,Ward 8,7088.6160735,34998.158209,0.2025425461,unemployed,fewer,adults,more adults in Ward 8 would be employed.,A higher share of people are employed in Ward 8 than in
Full-time workers earning a living wage,Living wage,2013-17,Ward 1,36734.825963,43270.098353,0.848965622,over $35K,more,full-time workers,"more full-time workers in Ward 1 would earn over $35,000 a year.","A higher share of full-time workers earn over $35,000 a year in Ward 1 than in"
Full-time workers earning a living wage,Living wage,2013-17,Ward 2,34139.999164,37173.566159,0.9183945123,over $35K,more,full-time workers,"more full-time workers in Ward 2 would earn over $35,000 a year.","A higher share of full-time workers earn over $35,000 a year in Ward 2 than in"
Full-time workers earning a living wage,Living wage,2013-17,Ward 3,33862.685328,36639.900936,0.9242024258,over $35K,more,full-time workers,"more full-time workers in Ward 3 would earn over $35,000 a year.","A higher share of full-time workers earn over $35,000 a year in Ward 3 than in"
